id,title,overview,genres,keywords,adult
8195,Ronin,"A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case.","['Action', 'Thriller', 'Crime']","['france', 'paris, france', 'arms deal', 'mercenary', 'suitcase']",False
663558,New Gods: Nezha Reborn,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.","['Animation', 'Fantasy', 'Action']","['based on novel or book', 'reincarnation', 'dragon', 'xianxia', '3d animation']",False
11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"['Adventure', 'Action', 'Science Fiction']","['empire', 'galaxy', 'rebellion', 'android', 'hermit']",False
12,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","['Animation', 'Family']","['fish', 'sydney, australia', 'parent child relationship', 'anthropomorphism', 'harbor']",False
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","['Comedy', 'Drama', 'Romance']","[""new year's eve"", 'vietnam war', 'vietnam veteran', 'mentally disabled', 'friendship']",False
14,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",['Drama'],"['estate agent', 'adultery', 'coming out', 'first time', 'virgin']",False
15,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","['Mystery', 'Drama']","['media tycoon', 'florida', 'art collector', 'newspaper', 'capitalist']",False
16,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, dreaming up little numbers to the rhythmic beats of her surroundings.","['Drama', 'Crime']","['factory worker', 'individual', 'immigrant', 'blindness and impaired vision', 'dancing']",False
18,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.","['Science Fiction', 'Action', 'Adventure']","['new york city', 'flying car', 'taxi', 'egypt', 'race against time']",False
19,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.","['Drama', 'Science Fiction']","['future', 'metropolis', 'class society', 'man vs machine', 'underground world']",False
